author,programming_language,hash,repo_url,severity,cvss2_integrity_impact,cvss3_integrity_impact,impact_score
Miklos Szeredi,C,7572777eef78ebdee1ecb7c258c0ef94d35bad16,https://github.com/torvalds/linux,MEDIUM,PARTIAL,,
Eric Paris,C,a2ae4cc9a16e211c8a128ba10d22a85431f093ab,https://github.com/torvalds/linux,MEDIUM,NONE,,
Mike Galbraith,C,f26f9aff6aaf67e9a430d16c266f91b13a5bff64,https://github.com/torvalds/linux,MEDIUM,NONE,NONE,3.6
David Kilroy,C,0a54917c3fc295cb61f3fb52373c173fd3b69f48,https://github.com/torvalds/linux,LOW,NONE,,
Mimi Zohar,C,867c20265459d30a01b021a9c1e81fb4c5832aa9,https://github.com/torvalds/linux,LOW,PARTIAL,,
Joerg Roedel,C,fc3a9157d3148ab91039c75423da8ef97be3e105,https://github.com/torvalds/linux,MEDIUM,NONE,,
Herbert Xu,C,6b0d6a9b4296fa16a28d10d416db7a770fc03287,https://github.com/torvalds/linux,MEDIUM,NONE,,
Vasiliy Kulikov,C,43629f8f5ea32a998d06d1bb41eefa0e821ff573,https://github.com/torvalds/linux,MEDIUM,NONE,,
Vasiliy Kulikov,C,c4c896e1471aec3b004a693c689f60be3b17ac86,https://github.com/torvalds/linux,LOW,NONE,,
Vasiliy Kulikov,C,d846f71195d57b0bbb143382647c2c6638b04c5a,https://github.com/torvalds/linux,LOW,NONE,,
Neil Horman,C,6094628bfd94323fc1cea05ec2c6affd98c18f7f,https://github.com/torvalds/linux,MEDIUM,NONE,,
Vasiliy Kulikov,C,8909c9ad8ff03611c9c96c9a92656213e4bb495b,https://github.com/torvalds/linux,LOW,PARTIAL,,
Anton Blanchard,C,0837e3242c73566fc1c0196b4ec61779c25ffc93,https://github.com/torvalds/linux,MEDIUM,NONE,,
Stephane Eranian,C,fc66c5210ec2539e800e87d7b3a985323c7be96e,https://github.com/torvalds/linux,MEDIUM,NONE,,
Julien Tinnes,C,da48524eb20662618854bb3df2db01fc65f3070c,https://github.com/torvalds/linux,LOW,PARTIAL,,
Laurent Pinchart,C,fc0a80798576f80ca10b3f6c9c7097f12fd1d64e,https://github.com/torvalds/linux,MEDIUM,NONE,NONE,3.6
Dan Rosenberg,C,b769f49463711205d57286e64cf535ed4daf59e9,https://github.com/torvalds/linux,MEDIUM,NONE,,
Dan Rosenberg,C,4d00135a680727f6c3be78f8befaac009030e4df,https://github.com/torvalds/linux,HIGH,COMPLETE,,
Richard Weinberger,C,bfdc0b497faa82a0ba2f9dddcf109231dd519fcc,https://github.com/torvalds/linux,MEDIUM,NONE,,
Dan Rosenberg,C,d370af0ef7951188daeb15bae75db7ba57c67846,https://github.com/torvalds/linux,HIGH,PARTIAL,HIGH,5.9
Dan Rosenberg,C,be20250c13f88375345ad99950190685eda51eb8,https://github.com/torvalds/linux,HIGH,PARTIAL,,
Ben Hutchings,C,e0bccd315db0c2f919e7fcf9cb60db21d9986f52,https://github.com/torvalds/linux,MEDIUM,NONE,,
Linus Torvalds,C,76597cd31470fa130784c78fadb4dab2e624a723,https://github.com/torvalds/linux,MEDIUM,NONE,NONE,3.6
John W. Linville,C,c85ce65ecac078ab1a1835c87c4a6319cf74660a,https://github.com/torvalds/linux,HIGH,NONE,NONE,3.6
Eric Paris,C,d0de4dc584ec6aa3b26fffea320a8457827768fc,https://github.com/torvalds/linux,MEDIUM,NONE,,
Tao Ma,C,0449641130f5652b344ef6fa39fa019d7e94660a,https://github.com/torvalds/linux,LOW,NONE,,
Linus Torvalds,C,982134ba62618c2d69fbbbd166d0a11ee3b7e3d8,https://github.com/torvalds/linux,MEDIUM,NONE,,
Jeff Layton,C,70945643722ffeac779d2529a348f99567fa5c33,https://github.com/torvalds/linux,MEDIUM,NONE,NONE,3.6
Eric Dumazet,C,f8e9881c2aef1e982e5abc25c046820cd0b7cf64,https://github.com/torvalds/linux,MEDIUM,NONE,NONE,3.6
Shan Wei,C,a9cf73ea7ff78f52662c8658d93c226effbbedde,https://github.com/torvalds/linux,HIGH,NONE,,
Andrea Arcangeli,C,78f11a255749d09025f54d4e2df4fbcb031530e2,https://github.com/torvalds/linux,MEDIUM,NONE,NONE,3.6
Eric Dumazet,C,f6d8bd051c391c1c0458a30b2a7abcd939329259,https://github.com/torvalds/linux,HIGH,NONE,NONE,3.6
Dan Rosenberg,C,0f22072ab50cac7983f9660d33974b45184da4f9,https://github.com/torvalds/linux,MEDIUM,COMPLETE,,
Yongqiang Yang,C,667eff35a1f56fa74ce98a0c7c29a40adc1ba4e3,https://github.com/torvalds/linux,MEDIUM,NONE,,
Eric Dumazet,C,64f3b9e203bd06855072e295557dca1485a2ecba,https://github.com/torvalds/linux,MEDIUM,NONE,,
Timo Warns,C,cae13fe4cc3f24820ffb990c09110626837e85d4,https://github.com/torvalds/linux,HIGH,COMPLETE,,
Takuya Yoshikawa,C,fa3d315a4ce2c0891cdde262562e710d95fba19e,https://github.com/torvalds/linux,MEDIUM,PARTIAL,HIGH,5.9
Luciano Coelho,C,208c72f4fe44fe09577e7975ba0e7fa0278f3d03,https://github.com/torvalds/linux,HIGH,COMPLETE,,
Kees Cook,C,a5b2c5b2ad5853591a6cac6134cd0f599a720865,https://github.com/torvalds/linux,MEDIUM,PARTIAL,,
Tetsuo Handa,C,4e78c724d47e2342aa8fde61f6b8536f662f795f,https://github.com/torvalds/linux,MEDIUM,NONE,,
Trond Myklebust,C,0b760113a3a155269a3fba93a409c640031dd68f,https://github.com/torvalds/linux,MEDIUM,NONE,,
Hugh Dickins,C,2b472611a32a72f4a118c069c2d62a1a3f087afd,https://github.com/torvalds/linux,MEDIUM,NONE,,
Dan Rosenberg,C,21c5977a836e399fc710ff2c5367845ed5c2527f,https://github.com/torvalds/linux,LOW,NONE,,
Vasiliy Kulikov,C,1d1221f375c94ef961ba8574ac4f85c8870ddd51,https://github.com/torvalds/linux,LOW,NONE,,
Vasiliy Kulikov,C,819cbb120eaec7e014e5abd029260db1ca8c5735,https://github.com/torvalds/linux,MEDIUM,NONE,,
Eric Dumazet,C,87c48fa3b4630905f98268dde838ee43626a060c,https://github.com/torvalds/linux,HIGH,NONE,NONE,3.6
Dan Carpenter,C,12f09ccb4612734a53e47ed5302e0479c10a50f8,https://github.com/torvalds/linux,HIGH,PARTIAL,HIGH,5.9
Dan Rosenberg,C,0d0138ebe24b94065580bd2601f8bb7eb6152f56,https://github.com/torvalds/linux,LOW,NONE,NONE,5.2
Dan Rosenberg,C,b5b515445f4f5a905c5dd27e6e682868ccd6c09d,https://github.com/torvalds/linux,MEDIUM,NONE,NONE,3.6
Neil Horman,C,550fd08c2cebad61c548def135f67aba284c6162,https://github.com/torvalds/linux,MEDIUM,NONE,NONE,3.6
Jonathan Nieder,C,aba8d056078e47350d85b06a9cabd5afcc4b72ea,https://github.com/torvalds/linux,MEDIUM,COMPLETE,,
John Johansen,C,764355487ea220fdc2faf128d577d7f679b91f97,https://github.com/torvalds/linux,LOW,PARTIAL,,
Miklos Szeredi,C,c2183d1e9b3f313dd8ba2b1b0197c8d9fb86a7ae,https://github.com/torvalds/linux,MEDIUM,NONE,NONE,3.6
Mathieu Desnoyers,C,bc909d9ddbf7778371e36a651d6e4194b1cc7d4c,https://github.com/torvalds/linux,MEDIUM,NONE,NONE,3.6
Linus Torvalds,C,1a51410abe7d0ee4b1d112780f46df87d3621043,https://github.com/torvalds/linux,LOW,NONE,,
Jeff Layton,C,9438fabb73eb48055b58b89fc51e0bc4db22fabd,https://github.com/torvalds/linux,HIGH,COMPLETE,HIGH,5.9
Jiri Slaby,C,c290f8358acaeffd8e0c551ddcc24d1206143376,https://github.com/torvalds/linux,MEDIUM,NONE,NONE,3.6
Nick Bowler,C,7ed47b7d142ec99ad6880bbbec51e9f12b3af74c,https://github.com/torvalds/linux,MEDIUM,NONE,NONE,3.6
Benjamin Marzinski,C,64dd153c83743af81f20924c6343652d731eeecb,https://github.com/torvalds/linux,LOW,NONE,,
Alan Stern,C,0720a06a7518c9d0c0125bd5d1f3b6264c55c3dd,https://github.com/torvalds/linux,MEDIUM,COMPLETE,,
Xi Wang,C,a5cd335165e31db9dbab636fd29895d41da55dd2,https://github.com/torvalds/linux,HIGH,COMPLETE,HIGH,5.9
Christoph Hellwig,C,fa8b18edd752a8b4e9d1ee2cd615b82c93cf8bba,https://github.com/torvalds/linux,MEDIUM,NONE,NONE,3.6
Eric Dumazet,C,fdf5af0daf8019cec2396cdef8fb042d80fe71fa,https://github.com/torvalds/linux,HIGH,NONE,,
Al Viro,C,905ad269c55fc62bee3da29f7b1d1efeba8aa1e1,https://github.com/torvalds/linux,MEDIUM,NONE,,
Sven Eckelmann,C,b5a1eeef04cc7859f34dec9b72ea1b28e4aba07c,https://github.com/torvalds/linux,MEDIUM,PARTIAL,,
Xi Wang,C,093019cf1b18dd31b2c3b77acce4e000e2cbc9ce,https://github.com/torvalds/linux,MEDIUM,NONE,NONE,3.6
Markus Kötter,C,a03ffcf873fe0f2565386ca8ef832144c42e67fa,https://github.com/torvalds/linux,MEDIUM,PARTIAL,,
Andy Adamson,C,bf118a342f10dafe44b14451a1392c3254629a1f,https://github.com/torvalds/linux,MEDIUM,NONE,,
Ben Hutchings,C,a8c1f65c79cbbb2f7da782d4c9d15639a9b94b27,https://github.com/torvalds/linux,HIGH,NONE,NONE,3.6
Xi Wang,C,d50f2ab6f050311dbf7b8f5501b25f0bf64a439b,https://github.com/torvalds/linux,HIGH,NONE,,
Paolo Bonzini,C,0bfc96cb77224736dfa35c3c555d37b3646ef35e,https://github.com/torvalds/linux,MEDIUM,PARTIAL,,
Paolo Bonzini,C,ec8013beddd717d1740cfefb1a9b900deef85462,https://github.com/torvalds/linux,MEDIUM,PARTIAL,,
Wey-Yi Guy,C,2da424b0773cea3db47e1e81db71eeebde8269d4,https://github.com/torvalds/linux,HIGH,PARTIAL,HIGH,5.9
Eric Sandeen,C,15291164b22a357cb211b618adfef4fa82fc0de3,https://github.com/torvalds/linux,MEDIUM,NONE,,
Anton Vorontsov,C,371528caec553785c37f73fa3926ea0de84f986f,https://github.com/torvalds/linux,MEDIUM,NONE,NONE,3.6
H. Peter Anvin,C,c8e252586f8d5de906385d8cf6385fee289a825e,https://github.com/torvalds/linux,HIGH,COMPLETE,HIGH,5.9
David Gibson,C,90481622d75715bfcb68501280a917dbfe516029,https://github.com/torvalds/linux,MEDIUM,NONE,,
Sachin Prabhu,C,20e0fa98b751facf9a1101edaefbc19c82616a68,https://github.com/torvalds/linux,MEDIUM,NONE,,
Oleg Nesterov,C,79549c6dfda0603dba9a70a53467ce62d9335c33,https://github.com/torvalds/linux,MEDIUM,NONE,,
Eric Paris,C,d52fc5dde171f030170a6cb78034d166b13c9445,https://github.com/torvalds/linux,HIGH,COMPLETE,,
Xi Wang,C,ed8cd3b2cd61004cab85380c52b1817aca1ca49b,https://github.com/torvalds/linux,MEDIUM,NONE,,
Xi Wang,C,44afb3a04391a74309d16180d1e4f8386fdfa745,https://github.com/torvalds/linux,MEDIUM,NONE,,
Jason Baron,C,13d518074a952d33d47c428419693f63389547e9,https://github.com/torvalds/linux,MEDIUM,NONE,,
Jeff Mahoney,C,1bb57e940e1958e40d51f2078f50c3a96a9b2d75,https://github.com/torvalds/linux,LOW,NONE,,
Eric Dumazet,C,82981930125abfd39d7c8378a9cfdf5e1be2002b,https://github.com/torvalds/linux,HIGH,COMPLETE,HIGH,5.9
Jason Wang,C,b92946e2919134ebe2a4083e4302236295ea2a73,https://github.com/torvalds/linux,MEDIUM,NONE,,
Greg Kroah-Hartman,C,6f24f892871acc47b40dd594c63606a17c714f77,https://github.com/torvalds/linux,HIGH,COMPLETE,,
Linus Torvalds,C,a70b52ec1aaeaf60f4739edb1b422827cb6f3893,https://github.com/torvalds/linux,HIGH,COMPLETE,HIGH,5.9
Dave Hansen,C,c50ac050811d6485616a193eb0f37bfbd191cc89,https://github.com/torvalds/linux,MEDIUM,NONE,,
Andrea Arcangeli,C,26c191788f18129af0eb32a358cdaea0c7479626,https://github.com/torvalds/linux,MEDIUM,NONE,,
Jason Wang,C,cc9b17ad29ecaa20bfe426a8d4dbfb94b13ff1cc,https://github.com/torvalds/linux,HIGH,COMPLETE,,
Olaf Hering,C,bcc2c9c3fff859e0eb019fe6fec26f9b8eba795c,https://github.com/torvalds/linux,LOW,PARTIAL,,
Dan Rosenberg,C,67de956ff5dc1d4f321e16cfbd63f5be3b691b43,https://github.com/torvalds/linux,MEDIUM,NONE,,
Jan Kara,C,adee11b2085bee90bd8f4f52123ffb07882d6256,https://github.com/torvalds/linux,HIGH,COMPLETE,,
Jan Kara,C,1df2ae31c724e57be9d7ac00d78db8a5dabdd050,https://github.com/torvalds/linux,HIGH,COMPLETE,,
Andy Lutomirski,C,9ab4233dd08036fe34a89c7dc6f47a8bf2eb29eb,https://github.com/torvalds/linux,MEDIUM,COMPLETE,,
Mathias Krause,C,fe685aabf7c8c9f138e5ea900954d295bf229175,https://github.com/torvalds/linux,LOW,NONE,,
Mathias Krause,C,0143fc5e9f6f5aad4764801015bc8d4b4a278200,https://github.com/torvalds/linux,LOW,NONE,,
Paul Moore,C,89d7ae34cdda4195809a5a987f697a517a2a3177,https://github.com/torvalds/linux,MEDIUM,COMPLETE,,
Weiping Pan,C,06b6a1cf6e776426766298d055bb3991957d90a7,https://github.com/torvalds/linux,LOW,NONE,,
Darren Hart,C,6f7b0a2a5c0fb03be7c25bd1745baa50582348ef,https://github.com/torvalds/linux,MEDIUM,NONE,,
Mathias Krause,C,a117dacde0288f3ec60b6e5bcedae8fa37ee0dfc,https://github.com/torvalds/linux,LOW,NONE,,
Jiang Liu,C,08dff7b7d629807dbb1f398c68dd9cd58dd657a1,https://github.com/torvalds/linux,MEDIUM,NONE,,
Mathias Krause,C,e862f1a9b7df4e8196ebec45ac62295138aa3fc2,https://github.com/torvalds/linux,LOW,NONE,,
Mathias Krause,C,3c0c5cfdcd4d69ffc4b9c0907cec99039f30a50a,https://github.com/torvalds/linux,LOW,NONE,,
Mathias Krause,C,e15ca9a0ef9a86f0477530b0f44a725d67f889ee,https://github.com/torvalds/linux,LOW,NONE,,
Mathias Krause,C,3f68ba07b1da811bf383b4b701b129bfcb2e4988,https://github.com/torvalds/linux,LOW,NONE,,
Mathias Krause,C,9ad2de43f1aee7e7274a4e0d41465489299e344b,https://github.com/torvalds/linux,LOW,NONE,,
Mathias Krause,C,f9432c5ec8b1e9a09b9b0e5569e3c73db8de432a,https://github.com/torvalds/linux,LOW,NONE,,
Mathias Krause,C,9344a972961d1a6d2c04d9008b13617bcb6ec2ef,https://github.com/torvalds/linux,LOW,NONE,,
Mathias Krause,C,792039c73cf176c8e39a6e8beef2c94ff46522ed,https://github.com/torvalds/linux,LOW,NONE,,
Mathias Krause,C,04d4fbca1017c11381e7d82acea21dd741e748bc,https://github.com/torvalds/linux,LOW,NONE,,
Mathias Krause,C,3592aaeb80290bda0f2cf0b5456c97bfc638b192,https://github.com/torvalds/linux,LOW,NONE,,
Mathias Krause,C,276bdb82dedb290511467a5a4fdbe9f0b52dce6f,https://github.com/torvalds/linux,MEDIUM,COMPLETE,,
Mathias Krause,C,7b07f8eb75aa3097cdfd4f6eac3da49db787381d,https://github.com/torvalds/linux,LOW,NONE,,
Mathias Krause,C,2d8a041b7bfe1097af21441cb77d6af95f4f4680,https://github.com/torvalds/linux,LOW,NONE,,
Mathias Krause,C,43da5f2e0d0c69ded3d51907d9552310a6b545e8,https://github.com/torvalds/linux,LOW,NONE,,
Eric Dumazet,C,e0e3cea46d31d23dc40df0a49a7a2c04fe8edfea,https://github.com/torvalds/linux,LOW,PARTIAL,,
Pablo Neira Ayuso,C,20e1db19db5d6b9e4e83021595eab0dc8f107bef,https://github.com/torvalds/linux,HIGH,COMPLETE,HIGH,5.9
Mikulas Patocka,C,ed6fe9d614fc1bca95eb8c0ccd0e92db00ef9d5d,https://github.com/torvalds/linux,MEDIUM,NONE,,
Marcelo Tosatti,C,12d6e7538e2d418c08f082b1b44ffa5fb7270ed8,https://github.com/torvalds/linux,MEDIUM,NONE,,
Russell King,C,8404663f81d212918ff85f493649a7991209fa04,https://github.com/torvalds/linux,HIGH,COMPLETE,,
Dan Carpenter,C,b35cc8225845112a616e3a2266d2fde5ab13d3ab,https://github.com/torvalds/linux,HIGH,COMPLETE,HIGH,5.9
Anatol Pomozov,C,c9b92530a723ac5ef8e352885a1862b18f31b2f5,https://github.com/torvalds/linux,MEDIUM,NONE,NONE,3.6
Mathias Krause,C,864745d291b5ba80ea0bd0edcbe67273de368836,https://github.com/torvalds/linux,MEDIUM,COMPLETE,,
Mathias Krause,C,4c87308bdea31a7b4828a51f6156e6f721a1fcc9,https://github.com/torvalds/linux,LOW,NONE,,
Mathias Krause,C,f778a636713a435d3a922c60b1622a91136560c1,https://github.com/torvalds/linux,LOW,NONE,,
Mathias Krause,C,7b789836f434c87168eab067cfbed1ec4783dffd,https://github.com/torvalds/linux,LOW,NONE,,
Mathias Krause,C,1f86840f897717f86d523a13e99a447e6a5d2fa5,https://github.com/torvalds/linux,LOW,NONE,,
Mathias Krause,C,ecd7918745234e423dd87fcc0c077da557909720,https://github.com/torvalds/linux,LOW,NONE,,
Eric Dumazet,C,3e10986d1d698140747fcfc2761ec9cb64c1d582,https://github.com/torvalds/linux,MEDIUM,NONE,,
Andrea Arcangeli,C,027ef6c87853b0a9df53175063028edb4950d476,https://github.com/torvalds/linux,MEDIUM,NONE,,
Dmitry Monakhov,C,dee1f973ca341c266229faa5a1a5bb268bed3531,https://github.com/torvalds/linux,LOW,NONE,,
Kees Cook,C,2702b1526c7278c4d65d78de209a465d4de2885e,https://github.com/torvalds/linux,MEDIUM,NONE,,
Kees Cook,C,12176503366885edd542389eed3aaf94be163fdb,https://github.com/torvalds/linux,MEDIUM,NONE,,
Jesper Dangaard Brouer,C,8f363b77ee4fbf7c3bbcf5ec2c5ca482d396d664,https://github.com/torvalds/linux,MEDIUM,NONE,,
Tomas Hozza,C,95a69adab9acfc3981c504737a2b6578e4d846ef,https://github.com/torvalds/linux,MEDIUM,NONE,,
Michael S. Tsirkin,C,bd97120fc3d1a11f3124c7c9ba1d91f51829eb85,https://github.com/torvalds/linux,MEDIUM,COMPLETE,,
Sven Wegener,C,7d3e91a89b7adbc2831334def9e494dd9892f9af,https://github.com/torvalds/linux,MEDIUM,COMPLETE,,
Alex Williamson,C,e40f193f5bb022e927a57a4f5d5194e4f12ddb74,https://github.com/torvalds/linux,MEDIUM,NONE,,
Chris Mason,C,9c52057c698fb96f8f07e7a4bcf4801a092bda89,https://github.com/torvalds/linux,MEDIUM,NONE,,
Kees Cook,C,b66c5984017533316fd1951770302649baf1aa33,https://github.com/torvalds/linux,LOW,NONE,,
Theodore Ts'o,C,0e9a9a1ad619e7e987815d20262d36a2f95717ca,https://github.com/torvalds/linux,MEDIUM,NONE,,
Jeff Layton,C,ea702b80e0bbb2448e201472127288beb82ca2fe,https://github.com/torvalds/linux,MEDIUM,PARTIAL,,
Anderson Lizardo,C,0a9ab9bdb3e891762553f667066190c1d22ad62b,https://github.com/torvalds/linux,LOW,NONE,,
Fabio Estevam,C,929473ea05db455ad88cdc081f2adc556b8dc48f,https://github.com/torvalds/linux,MEDIUM,NONE,,
Wolfgang Frisch,C,1ee0a224bc9aad1de496c795f96bc6ba2c394811,https://github.com/torvalds/linux,MEDIUM,NONE,,
Dmitry Kasatkin,C,a67adb997419fb53540d4a4f79c6471c60bc69b6,https://github.com/torvalds/linux,MEDIUM,COMPLETE,,
Oleg Nesterov,C,9899d11f654474d2d54ea52ceaa2a1f4db3abd68,https://github.com/torvalds/linux,MEDIUM,COMPLETE,,
Alan Cox,C,c903f0456bc69176912dee6dd25c6a66ee1aed00,https://github.com/torvalds/linux,MEDIUM,COMPLETE,,
Dave Chinner,C,eb178619f930fa2ba2348de332a1ff1c66a31424,https://github.com/torvalds/linux,MEDIUM,PARTIAL,,
Ian Campbell,C,48856286b64e4b66ec62b94e504d0b29c1ade664,https://github.com/torvalds/linux,MEDIUM,NONE,,
Matthew Daley,C,7d5145d8eb2b9791533ffe4dc003b129b9696c48,https://github.com/torvalds/linux,MEDIUM,NONE,,
Eric Dumazet,C,77c1090f94d1b0b5186fb13a1b71b47b1343f87f,https://github.com/torvalds/linux,MEDIUM,NONE,,
Jan Beulich,C,13d2b4d11d69a92574a55bfd985cfb0ca77aebdc,https://github.com/torvalds/linux,MEDIUM,COMPLETE,,
Mathias Krause,C,9a5467bf7b6e9e02ec9c3da4e23747c05faeaac6,https://github.com/torvalds/linux,LOW,NONE,,
Nicolas Dichtel,C,85dfb745ee40232876663ae206cba35f24ab2a40,https://github.com/torvalds/linux,LOW,NONE,,
Mathias Krause,C,6e601a53566d84e1ffd25e7b6fe0b6894ffd79c0,https://github.com/torvalds/linux,HIGH,COMPLETE,,
Greg Thelen,C,5f00110f7273f9ff04ac69a5f85bb535a4fd0987,https://github.com/torvalds/linux,MEDIUM,COMPLETE,,
Guenter Roeck,C,726bc6b092da4c093eb74d13c07184b18c1af0f1,https://github.com/torvalds/linux,MEDIUM,COMPLETE,,
Mathias Krause,C,c085c49920b2f900ba716b4ca1c1a55ece9872cc,https://github.com/torvalds/linux,LOW,NONE,,
Mathias Krause,C,84d73cd3fb142bf1298a8c13fd4ca50fd2432372,https://github.com/torvalds/linux,LOW,NONE,,
Mathias Krause,C,29cd8ae0e1a39e239a3a7b67da1986add1199fc0,https://github.com/torvalds/linux,LOW,NONE,,
Lars-Peter Clausen,C,8d0c2d10dd72c5292eda7a06231056a4c972e4cc,https://github.com/torvalds/linux,MEDIUM,COMPLETE,,
David Howells,C,0da9dfdd2cd9889201bc6f6f43580c99165cd087,https://github.com/torvalds/linux,MEDIUM,NONE,,
Oliver Neukum,C,c0f5ecee4e741667b2493c742b60b6218d40b3aa,https://github.com/torvalds/linux,MEDIUM,COMPLETE,,
Vlad Yasevich,C,f2815633504b442ca0b0605c16bf3d88a3a0fcea,https://github.com/torvalds/linux,MEDIUM,NONE,,
Eric W. Biederman,C,e66eded8309ebf679d3d3c1f5820d1f2ca332c71,https://github.com/torvalds/linux,HIGH,COMPLETE,,
Kees Cook,C,2ca39528c01a933f6689cd6505ce65bd6d68a530,https://github.com/torvalds/linux,LOW,PARTIAL,,
Eric W. Biederman,C,92f28d973cce45ef5823209aab3138eb45d8b349,https://github.com/torvalds/linux,LOW,PARTIAL,,
Andy Honig,C,c300aa64ddf57d9c5d9c898a64b36877345dd4a9,https://github.com/torvalds/linux,MEDIUM,COMPLETE,,
