username,repositorio,hash,linguagem_programacao
dtor,https://github.com/torvalds/linux,cb222aed03d798fc074be55e59d9a112338ee784,C
Sean-Der,https://github.com/pion/dtls,fd73a5df2ff0e1fb6ae6a51e2777d7a16cc4f4e0,Go
bk138,https://github.com/LibVNC/libvncserver,54220248886b5001fbbb9fa73c4e1a2cb9413fed,C++
jwhui,https://github.com/openthread/openthread,b8c3161281f8e15873f8decabd8eac461717aefe,C++
jwhui,https://github.com/openthread/openthread,c3a3a0c424322009fec3ab735fb20ce8f6e19e70,C++
Jakuje,https://github.com/OpenSC/OpenSC,c246f6f69a749d4f68626b40795a4f69168008f4,C
jreiser,https://github.com/upx/upx,8be9da8280dfa69d5df4417d4d81bda1cab78010,C++
autor nulo,https://github.com/torvalds/linux,2e7682ebfc750177a4944eeb56e97a3f05734528,C
bk138,https://github.com/LibVNC/libvncserver,3fd03977c9b35800d73a865f167338cb4d05b0c1,C
DerDakon,https://github.com/LibVNC/libvncserver,0cf1400c61850065de590d403f6d49e32882fd76,C
bvanassche,https://github.com/net-snmp/net-snmp,5f881d3bf24599b90d67a45cae7a3eb099cd71c9,C
rurban,https://github.com/LibreDWG/libredwg,d7913b893bfa98fab27f05825dc4cab2d3a20c83,C
rurban,https://github.com/LibreDWG/libredwg,c6f6668b82bfe595899cc820279ac37bb9ef16f5,C
rurban,https://github.com/LibreDWG/libredwg,3f503dd294efc63a59608d8a16058c41d44ba13a,C
rurban,https://github.com/LibreDWG/libredwg,95cc9300430d35feb05b06a9badf678419463dbe,C
SadieCat,https://github.com/inspircd/inspircd,8745660fcdac7c1b80c94cfc0ff60928cd4dd4b7,C++
SadieCat,https://github.com/inspircd/inspircd,7b47de3c194f239c5fea09a0e49696c9af017d51,C++
ppisar,https://github.com/perl5-dbi/dbi,eca7d7c8f43d96f6277e86d1000e842eb4cc67ff,C
dgnorton,https://github.com/influxdata/influxdb,761b557315ff9c1642cf3b0e5797cd3d983a24c0,Go
Duncaen,https://github.com/Duncaen/OpenDoas,d5acd52e2a15c36a8e06f9103d35622933aa422d,C
4a6f656c,https://github.com/libressl-portable/portable,17c88164016df821df2dff4b2b1291291ec4f28a,C
rouault,https://github.com/OSGeo/gdal,767e3a56144f676ca738ef8f700e0e56035bd05a,C++
kevina,https://github.com/gnuaspell/aspell,0718b375425aad8e54e1150313b862e4c6fd324a,C++
jbech-linaro,https://github.com/OP-TEE/optee_os,34a08bec755670ea0490cb53bbc68058cafc69b6,C
Eugeny,https://github.com/ajenti/ajenti,7aa146b724e0e20cfee2c71ca78fafbf53a8767c,Python
mingtaoy,https://github.com/facebook/wangle,3b17ba10a82c71e7808760e027ac6af687e06074,C++
spalamarchuk,https://github.com/facebook/fbthrift,a56346ceacad28bf470017a6bda1d5518d0bd943,Java
knekritz,https://github.com/facebookincubator/fizz,40bbb161e72fb609608d53b9d64c56bb961a6ee2,C++
knekritz,https://github.com/facebook/wangle,5b3bceca875e4ea4ed9d14c20b20ce46c92c13c6,C++
natemueller,https://github.com/facebook/fbthrift,c461c1bd1a3e130b181aa9c854da3030cd4b5156,Go
davidtgoldblatt,https://github.com/facebook/fbthrift,01686e15ec77ccb4d49a77d5bce3a01601e54d64,C++
autor nulo,https://github.com/rpm-software-management/libcomps,e3a5d056633677959ad924a51758876d415e7046,C
olavmo-sikt,https://github.com/Uninett/mod_auth_mellon,62041428a32de402e0be6ba45fe12df6a83bedb8,C
torvalds,https://github.com/torvalds/linux,574823bfab82d9d8fa47f422778043fbb4b4f50e,C
cyphar,https://github.com/opencontainers/runc,0a8e4117e7f715d5fbeef398405813ce8e88558b,C
tananaev,https://github.com/traccar/traccar,d7f6c53fd88635885914013649b6807ec53227bf,Java
nao-pon,https://github.com/Studio-42/elFinder,f133163f2d754584de65d718b2fde96191557316,PHP
louberger,https://github.com/FRRouting/frr,943d595a018e69b550db08cccba1d0778a86705a,C
tany,https://github.com/shirasagi/shirasagi,6016948ea535e51b16535888af13df064a1a15d3,Ruby
error ao obter,https://gitlab.com/libtiff/libtiff,0c74a9f49b8d7a36b17b54a7428b3526d20f88a8,C
nao-pon,https://github.com/Studio-42/elFinder,2f522db8f037a66ce9040ee0b216aa4a0359286c,PHP
mnoorenberghe,https://github.com/mnoorenberghe/ZoneMinder,59cc65411f02c7e39a270fda3ecb4966d7b48d41,PHP
thejh,https://github.com/torvalds/linux,cfa39381173d5f969daf43582c95ad679189cbc9,C
cmb69,https://github.com/php/php-src,089f7c0bc28d399b0420aa6ef058e4c1c120b2ae,C
autor nulo,https://github.com/ImageMagick/ImageMagick,1e6a3ace073c9ec9c71e439c111d23c6e66cb6ae,Objective-C
borkmann,https://github.com/torvalds/linux,979d63d50c0c0f7bc537bf821e056cc9fe5abd38,C
borkmann,https://github.com/torvalds/linux,d3bd7413e0ca40b60cf60d4003246d067cafdeda,C
fguillot,https://github.com/kanboard/kanboard,83deec2e3621c40d15a06e2491f27571d32fe10f,PHP
autor nulo,https://github.com/ImageMagick/ImageMagick,8a43abefb38c5e29138e1c9c515b313363541c06,Objective-C
autor nulo,https://github.com/ImageMagick/ImageMagick,748a03651e5b138bcaf160d15133de2f4b1b89ce,C
autor nulo,https://github.com/ImageMagick/ImageMagick,306c1f0fa5754ca78efd16ab752f0e981d4f6b82,Objective-C
error ao obter,https://gitlab.com/libtiff/libtiff,802d3cbf3043be5dce5317e140ccb1c17a6a2d39,C++
cooltey,https://github.com/cooltey/C.P.Sub,b2be52fd89b6fd4d69d63d504bc11742cd679ebe,PHP
abcprintf,https://github.com/abcprintf/upload-image-with-ajax,71436ba5102010397519d4b25ea57591cfb4974c,PHP
bluhm,https://github.com/openbsd/src,ed8fdce754a5d8d14c09e989d8877707bd43906f,C
zoulasc,https://github.com/file/file,2858eaf99f6cc5aae129bcbf1e24ad160240185f,C
Patriboom,https://github.com/pixeline/bugs,9d2d3fcdea22e94f7b497f6ed83791ab3a31ee41,PHP
autor nulo,https://github.com/torvalds/linux,77f8269606bf95fcb232ee86f6da80886f1dfae8,C
thejh,https://github.com/torvalds/linux,c4c07b4d6fa1f11880eab8e076d3d060ef3f55fc,C
thejh,https://github.com/torvalds/linux,0a1d52994d440e21def1c2174932410b4f2a98a1,C
msmeissn,https://github.com/libexif/libexif,75aa73267fdb1e0ebfbc00369e7312bac43d0566,C
iglocska,https://github.com/MISP/MISP,c69969329d197bcdd04832b03310fa73f4eb7155,PHP
jimharris,https://github.com/spdk/spdk,eca42c66092b9031711afe215fbc1891ee55f143,Markdown
klali,https://github.com/Yubico/libu2f-host,e4bb58cc8b6202a421e65f8230217d8ae6e16eb5,C
Tryption,https://github.com/aquaverde/aquarius-core,d1dfa5b8280388a0b6f2f341f0681522dbea03b0,PHP
SergeyBiryukov,https://github.com/WordPress/WordPress,0292de60ec78c5a44956765189403654fe4d080b,PHP
serghey-rodin,https://github.com/serghey-rodin/vesta,c28c5d29a3c61bc8110c11349e3f2309cd537cfa,PHP
w8tcha,https://github.com/w8tcha/CKEditor-oEmbed-Plugin,10f6169e39510bbf5af913886037044458b9dc9b,JavaScript
autor nulo,https://github.com/LimeSurvey/LimeSurvey,1ed10d3c423187712b8f6a8cb2bc9d5cc3b2deb8,PHP
sneha-patil-synacor,https://github.com/Zimbra/zm-mailbox,1df440e0efa624d1772a05fb6d397d9beb4bda1e,Java
micrictor,https://github.com/sleuthkit/sleuthkit,459ae818fc8dae717549810150de4d191ce158f1,C
d00p,https://github.com/Froxlor/Froxlor,62ce21c9ec393f9962515c88f0c489ace42bf656,PHP
d00p,https://github.com/Froxlor/Froxlor,7e361274c5bf687b6a42dd1871f6d75506c5d207,PHP
d00p,https://github.com/Froxlor/Froxlor,6b09720ef8a1cc008751dd0ca0140a0597fedce5,PHP
mokaddem,https://github.com/MISP/MISP,43a0757fb33769d9ad4ca09e8f2ac572f9f6a491,PHP
wiredfool,https://github.com/python-pillow/Pillow,6a83e4324738bb0452fbe8074a995b1c73f08de7,C
rra,https://github.com/rra/pam-krb5,e7879e27a37119fad4faf133a9f70bdcdc75d760,Markdown
FilipJirsak,https://github.com/dom4j/dom4j,a8228522a99a02146106672a34c104adbda5c658,Java
jplevyak,https://github.com/istio/envoy,8788a3cf255b647fd14e6b5e2585abaaedb28153,C++
jim-p,https://github.com/pfsense/pfsense,cc3990a334059018b004c91eeb66c147d8afe83d,PHP
dormando,https://github.com/memcached/memcached,02c6a2b62ddcb6fa4569a591d3461a156a636305,C
dpeca,https://github.com/serghey-rodin/vesta,c3c4de43d6701560f604ca7996f717b08e3d7d1d,PHP
joschi,https://github.com/dropwizard/dropwizard,d5a512f7abf965275f2a6b913ac4fe778e424242,Java
Fasse,https://github.com/Admidio/admidio,ea5d6f114b151ed11ec0ad7cb47bd729e77a874a,PHP
vadmeste,https://github.com/minio/minio,4cd6ca02c7957aeb2de3eede08b0754332a77923,Go
jcramer,https://github.com/simpleledger/Electron-Cash-SLP,ea3912c3d508ba81b280ef7d78648464f7f76fb8,Python
akallabeth,https://github.com/FreeRDP/FreeRDP,6b2bc41935e53b0034fe5948aeeab4f32e80f30f,C
akallabeth,https://github.com/FreeRDP/FreeRDP,67c2aa52b2ae0341d469071d1bc8aab91f8d2ed8,C
akallabeth,https://github.com/FreeRDP/FreeRDP,f8890a645c221823ac133dbf991f8a65ae50d637,C
akallabeth,https://github.com/FreeRDP/FreeRDP,ed53cd148f43cbab905eaa0f5308c2bf3c48cc37,C
akallabeth,https://github.com/FreeRDP/FreeRDP,f5e73cc7c9cd973b516a618da877c87b80950b65,C
akallabeth,https://github.com/FreeRDP/FreeRDP,9301bfe730c66180263248b74353daa99f5a969b,C
joshbuker,https://github.com/Sorcery/sorcery,0f116d223826895a73b12492f17486e5d54ab7a7,Ruby
The-Compiler,https://github.com/qutebrowser/qutebrowser,021ab572a319ca3db5907a33a59774f502b3b975,Python
The-Compiler,https://github.com/qutebrowser/qutebrowser,1b7946ed14b386a24db050f2d6dba81ba6518755,Markdown
akallabeth,https://github.com/FreeRDP/FreeRDP,3627aaf7d289315b614a584afb388f04abfb5bbf,C
trasher,https://github.com/glpi-project/glpi,5e1c52c5e8a30ceb4e9572964da7ed89ddfb1aaf,PHP
jcramer,https://github.com/simpleledger/slpjs,3671be2ffb6d4cfa94c00c6dc8649d1ba1d75754,TypeScript
jcramer,https://github.com/simpleledger/slp-validate,cde95c0c6470dceb4f023cd462f904135ebd73e7,TypeScript
temoto,https://github.com/httplib2/httplib2,a1457cc31f3206cf691d11d2bf34e98865873e9e,Python
jasnell,https://github.com/nghttp2/nghttp2,f8da73bd042f810f34d19f9eae02b46d870af394,C
Smjert,https://github.com/osquery/osquery,4d4957f12a6aa0becc9d01d9f97061e1e3d809c5,Shell
viseztrance,https://github.com/kaminari/kaminari,8dd52a1aed3d2fa2835d836de23fc0d8c4ff5db8,Ruby
LukeTowers,https://github.com/rainlab/blog-plugin,6ae19a6e16ef3ba730692bc899851342c858bb94,PHP
LukeTowers,https://github.com/octobercms/october,9ecfb4867baae14a0d3f99f5b5c1e8a979ae8746,PHP
akallabeth,https://github.com/FreeRDP/FreeRDP,8241ab42fdf0cc89cf69fc574bf6360c9977a0d4,C
akallabeth,https://github.com/FreeRDP/FreeRDP,8fa38359634a9910b91719818ab02f23c320dbae,C
akallabeth,https://github.com/FreeRDP/FreeRDP,795842f4096501fcefc1a7f535ccc8132feb31d7,C
brentzundel,https://github.com/hyperledger/indy-node,55056f22c83b7c3520488b615e1577e0f895d75a,Python
akallabeth,https://github.com/FreeRDP/FreeRDP,733ee3208306b1ea32697b356c0215180fc3f049,C
akallabeth,https://github.com/FreeRDP/FreeRDP,b8beb55913471952f92770c90c372139d78c16c0,C
akallabeth,https://github.com/FreeRDP/FreeRDP,58a3122250d54de3a944c487776bcd4d1da4721e,C++
akallabeth,https://github.com/FreeRDP/FreeRDP,c0fd449ec0870b050d350d6d844b1ea6dad4bc7d,C
akallabeth,https://github.com/FreeRDP/FreeRDP,6ade7b4cbfd71c54b3d724e8f2d6ac76a58e879a,C
olleharstedt,https://github.com/LimeSurvey/LimeSurvey,daf50ebb16574badfb7ae0b8526ddc5871378f1b,PHP
Shnoulle,https://github.com/LimeSurvey/LimeSurvey,04b118acce2a74306f365ef329cbe00efc399b26,PHP
jim-p,https://github.com/pfsense/pfsense,3c1e53dabe966f27c9097a5a923e77f49ae5fffa,PHP
iglocska,https://github.com/MISP/MISP,30ff4b6451549dae7b526d4fb3a49061311ed477,PHP
richiejp,https://github.com/torvalds/linux,b9258a2cece4ec1f020715fe3554bc2e360f6264,C
aureliendavid,https://github.com/gpac/gpac,6063b1a011c3f80cee25daade18154e15e4c058c,C
rddunlap,https://github.com/torvalds/linux,aa9f7d5172fac9bf1f09e678c35e287a40a7b7dd,C
jhovold,https://github.com/torvalds/linux,998912346c0da53a6dbb71fab3a138586b596b30,C
jhovold,https://github.com/torvalds/linux,485b06aadb933190f4bc44e006076bc27a23f205,C
jhovold,https://github.com/torvalds/linux,a246b4d547708f33ff4d4b9a7a5dbac741dc89d8,C
mpe,https://github.com/torvalds/linux,53a712bae5dd919521a58d7bad773b949358add0,C
ehristev,https://github.com/linux4sam/at91bootstrap,7753914c9a622c245f3a3cf2af5e24b6a9904213,C
ehristev,https://github.com/linux4sam/at91bootstrap,45419497309ffbf27c17ea7938499aca99168927,C
hutchic,https://github.com/Kong/docs.konghq.com,d693827c32144943a2f45abc017c1321b33ff611,Markdown
aidanholm,https://github.com/crawl/crawl,768f60da87a3fa0b5561da5ade9309577c176d04,C++
aidanholm,https://github.com/crawl/crawl,fc522ff6eb1bbb85e3de60c60a45762571e48c28,C++
SparkiDev,https://github.com/wolfSSL/wolfssl,1de07da61f0c8e9926dcbd68119f73230dae283f,C
lstipakov,https://github.com/OpenVPN/openvpn,37bc691e7d26ea4eb61a8a434ebd7a9ae76225ab,C
mwhudson,https://github.com/CanonicalLtd/subiquity,7db70650feaf513d7fb6f1ca07f2d670a0890613,Python
catenacyber,https://github.com/ntop/nDPI,7ce478a58b4dd29a8d1e6f4e9df2f778613d9202,C
catenacyber,https://github.com/ntop/nDPI,3bbb0cd3296023f6f922c71d21a1c374d2b0a435,C
skvadrik,https://github.com/skvadrik/re2c,c4603ba5ce229db83a2a4fb93e6d4b4e3ec3776a,C++
gburton,https://github.com/gburton/CE-Phoenix,8d0fb97810bc28880415a3a31607f473bfc5fec8,PHP
djmdjm,https://github.com/openssh/openssh-portable,955854cafca88e0cdcd3d09ca1ad4ada465364a1,C
djmdjm,https://github.com/openssh/openssh-portable,aad87b88fc2536b1ea023213729aaf4eaabe1894,C
oy,https://github.com/teeworlds/teeworlds,c68402fa7e279d42886d5951d1ea8ac2facc1ea5,C++
mark-unwin,https://github.com/Opmantek/open-audit,6ffc7f9032c55eaa1c37cf5e070809b7211c7e9a,PHP
robinwatts,https://github.com/ArtifexSoftware/jbig2dec,0726320a4b55078e9d8deb590e477d598b3da66e,C
dscho,https://github.com/libgit2/libgit2,3f7851eadca36a99627ad78cbe56a40d3776ed01,C
dscho,https://github.com/libgit2/libgit2,e1832eb20a7089f6383cfce474f213157f5300cb,C
dscho,https://github.com/libgit2/libgit2,64c612cc3e25eff5fb02c59ef5a66ba7a14751e4,C
michaelni,https://github.com/FFmpeg/FFmpeg,1812352d767ccf5431aa440123e2e260a4db2726,C
AlanStern,https://github.com/torvalds/linux,056ad39ee9253873522f6469c3364964a322912b,C
nbd168,https://github.com/torvalds/linux,b102f0c522cf668c8382c56a4f771b37d011cda2,C
AntonKueltz,https://github.com/AntonKueltz/fastecdsa,4a16daeaf139be20654ef58a9fe4c79dc030458c,Markdown
AntonKueltz,https://github.com/AntonKueltz/fastecdsa,7b64e3efaa806b4daaf73bb5172af3581812f8de,Python
AntonKueltz,https://github.com/AntonKueltz/fastecdsa,e592f106edd5acf6dacedfab2ad16fe6c735c9d1,C++
JediKev,https://github.com/osticket/osticket,fc4c8608fa122f38673b9dddcb8fef4a15a9c884,PHP
autor nulo,https://github.com/torvalds/linux,28d76df18f0ad5bcf5fa48510b225f0ed262a99b,C++
autor nulo,https://github.com/torvalds/linux,b70261a288ea4d2f4ac7cd04be08a9f0f2de4f4d,C
autor nulo,https://github.com/torvalds/linux,3a9b153c5591548612c3955c9600a98150c81875,C
zhengbin13,https://github.com/torvalds/linux,d0c7feaf87678371c2c09b3709400be416b2dc62,C
ZhiqiangLiu26,https://github.com/torvalds/linux,2f95fa5c955d0a9987ffdc3a095e2f4e62c5f2a9,C
autor nulo,https://github.com/gssapi/gssproxy,cb761412e299ef907f22cd7c4146d50c8a792003,C
magnus-karlsson,https://github.com/torvalds/linux,99e3a236dd43d06c65af0a2ef9cb44306aef6e02,C
BuffaloWill,https://github.com/SerpicoProject/Serpico,0b8600414976a5ad733604c7b1428071baf239c2,Ruby
autor nulo,https://github.com/iubenda/iubenda-cookie-class,545e0586320ae6f16204ba548cf533ef75dc2fbd,PHP
kmcb777,https://github.com/mjmlio/mjml,30e29ed2cdaec8684d60a6d12ea07b611c765a12,JavaScript
mjurczak,https://github.com/mjurczak/mbed-coap,4647a68e364401e81dbd370728127d844f221d93,C
cvandeplas,https://github.com/MISP/MISP-maltego,3ccde66dab4096ab5663e69f352992cc73e1160b,Python
dfandrich,https://github.com/libexif/libexif,435e21f05001fb03f9f186fa7cbc69454afd00d1,C
dfandrich,https://github.com/libexif/libexif,ec412aa4583ad71ecabb967d3c77162760169d1f,C
dfandrich,https://github.com/libexif/libexif,e6a38a1a23ba94d139b1fa2cd4519fdcfe3c9bab,C
iglocska,https://github.com/MISP/MISP,2989aa05225aa9b3a592ca50cbf8350ef256909c,PHP
vuvova,https://github.com/mariadb-corporation/mariadb-connector-c,2759b87d72926b7c9b5426437a7c8dd15ff57945,C
akallabeth,https://github.com/FreeRDP/FreeRDP,8fb6336a4072abcee8ce5bd6ae91104628c7bb69,Markdown
peter-mw,https://github.com/microweber/microweber,269320e0e0e06a1785e1a1556da769a34280b7e6,SQL
autor nulo,https://github.com/jerryscript-project/jerryscript,69f8e78c2f8d562bd6d8002b5488f1662ac30d24,C
sehrope,https://github.com/pgjdbc/pgjdbc,14b62aca4764d496813f55a43d050b017e01eb65,Java
thinkpanzer,https://github.com/google/exposure-notifications-internals,8f751a666697c3cae0a56ae3464c2c6cbe31b69e,Markdown
DarthGandalf,https://github.com/znc/znc,2390ad111bde16a78c98ac44572090b33c3bd2d8,C++
DarthGandalf,https://github.com/znc/znc,d229761821da38d984a9e4098ad96842490dc001,C++
NavigateCMS,https://github.com/NavigateCMS/Navigate-CMS,88b41c7665ac7181be063b7a541dded7b207d9e7,PHP
NavigateCMS,https://github.com/NavigateCMS/Navigate-CMS,e690bb5d7bbe9df9052b13c403ca0ac5e58054d4,PHP
gollub,https://github.com/kravietz/pam_tacplus,4a9852c31c2fd0c0e72fbb689a586aabcfb11cb0,C
kevin8t8,https://github.com/muttmua/mutt,3e88866dc60b5fa6aaba6fd7c1710c12c1c3cd01,C
WOOSEUNGHOON,https://github.com/antirez/redis,ef764dde1cca2f25d00686673d1bc89448819571,C
vmauery,https://github.com/openbmc/phosphor-host-ipmid,b265455a2518ece7c004b43c144199ec980fc620,C++
dbatyai,https://github.com/jerryscript-project/jerryscript,c2b662170245a16f46ce02eae68815c325d99821,C
rolfschmidt,https://github.com/zammad/zammad,6e56aee25439b7a3211a6704a9d60453ad623ae4,Ruby
bradh352,https://github.com/c-ares/c-ares,1cc7e83c3bdfaafbc5919c95025592d8de3a170e,C
bk138,https://github.com/LibVNC/libvncserver,33441d90a506d5f3ae9388f2752901227e430553,C
tobydox,https://github.com/LibVNC/libvncserver,38e98ee61d74f5f5ab4aa4c77146faad1962d6d0,C
tobydox,https://github.com/LibVNC/libvncserver,57433015f856cc12753378254ce4f1c78f5d9c7b,C
tobydox,https://github.com/LibVNC/libvncserver,23e5cbe6b090d7f22982aee909a6a618174d3c2d,C
tobydox,https://github.com/LibVNC/libvncserver,53073c8d7e232151ea2ecd8a1243124121e10e2d,C
tobydox,https://github.com/LibVNC/libvncserver,a6788d1da719ae006605b78d22f5a9f170b423af,C
tobydox,https://github.com/LibVNC/libvncserver,74e8a70f2c9a5248d6718ce443e07c7ed314dfff,C
bk138,https://github.com/LibVNC/libvncserver,8937203441ee241c4ace85da687b7d6633a12365,C
jhthorsen,https://github.com/Nordaaker/convos,54d1763ac65c05aad27ad454b4e5a62ba8352d39,Perl
eldy,https://github.com/Dolibarr/dolibarr,40e16672e3aa4e9208ea7a4829f30507dcdfc4ba,PHP
eldy,https://github.com/Dolibarr/dolibarr,22ca5e067189bffe8066df26df923a386f044c08,PHP
autor nulo,https://github.com/OCSInventory-NG/OCSInventory-ocsreports,da72e0fddaeceee44fbbd7241e07e5d53d1eee64,PHP
flatcap,https://github.com/neomutt/neomutt,fb013ec666759cb8a9e294347c7b4c1f597639cc,C
iglocska,https://github.com/MISP/MISP,609bfbd450c933d21c50c9f0161d633c43413eb6,PHP
ziajka,https://github.com/GNS3/ubridge,2eb0d1dab6a6de76cf3556130a2d52af101077db,C
AXDOOMER,https://github.com/AXDOOMER/doom-vanille,8a6d9a02fa991a91ff90ccdc73b5ceabaa6cb9ec,C
ohader,https://github.com/FriendsOfTYPO3/mediace,fa29ffd3e8b275782a8600d2406e1b1e5e16ae75,PHP
melekes,https://github.com/tendermint/tendermint,480b995a31727593f58b361af979054d17d84340,Go
ohader,https://github.com/TYPO3/TYPO3.CMS,85d3e70dff35a99ef53f4b561114acfa9e5c47e1,PHP
hannob,https://github.com/schokokeksorg/freewvs,18bbf2043e53f69e0119d24f8ae4edb274afb9b2,Python
hannob,https://github.com/schokokeksorg/freewvs,83a6b55c0435c69f447488b791555e6078803143,Python
trasher,https://github.com/glpi-project/glpi,a4baa64114eb92fd2adf6056a36e0582324414ba,PHP
minrk,https://github.com/jupyterhub/kubespawner,3dfe870a7f5e98e2e398b01996ca6b8eff4bb1d0,Python
autor nulo,https://github.com/spiral-project/ihatemoney,8d77cf5d5646e1d2d8ded13f0660638f57e98471,Python
Beechwell,https://github.com/intranda/goobi-viewer-core,44ceb8e2e7e888391e8a941127171d6366770df3,Java
LukeTowers,https://github.com/octobercms/library,28310d4fb336a1741b39498f4474497644a6875c,PHP
ldez,https://github.com/containous/traefik,e63db782c11c7b8bfce30be4c902e7ef8f9f33d2,Go
dvz,https://github.com/mybb/mybb,37ad29dcd25489a37bdd89ebac761f22492558b0,JavaScript
Flyingmana,https://github.com/OpenMage/magento-lts,7c526bc6a6a51b57a1bab4c60f104dc36cde347a,PHP
lachlan-00,https://github.com/ampache/ampache,e92cb6154c32c513b9c07e5fdbf5ac7de81ef5ed,PHP
psychobunny,https://github.com/psychobunny/nodebb-plugin-blog-comments,cf43beedb05131937ef46f365ab0a0c6fa6ac618,JavaScript
Kenny2github,https://github.com/InternationalScratchWiki/mediawiki-scratch-login,70849ef375016a1061490c8c4744046dbfc3e679,PHP
Zephyrkul,https://github.com/zephyrkul/FluffyCogs,6b9f3b862e1f0a5429c62f3090f814e53a242347,Python
themiron,https://github.com/accel-ppp/accel-ppp,2324bcd5ba12cf28f47357a8f03cd41b7c04c52b,C
cedric-anne,https://github.com/glpi-project/glpi,a8109d4ee970a222faf48cf48fae2d2f06465796,PHP
Naleksuh,https://github.com/InternationalScratchWiki/wiki-scratchsig,4160a39a20eebeb63a59eb7597a91b961eca6388,PHP
technosophos,https://github.com/helm/helm,055dd41cbe53ce131ab0357524a7f6729e6e40dc,Go
technosophos,https://github.com/helm/helm,809e2d999e2c33e20e77f6bff30652d79c287542,Go
mihaimaruseac,https://github.com/tensorflow/tensorflow,27b417360cbd671ef55915e4bb6bb06af8b8a832,C++
mihaimaruseac,https://github.com/tensorflow/tensorflow,ca8c013b5e97b1373b3bb1c97ea655e69f31a575,C++
mihaimaruseac,https://github.com/tensorflow/tensorflow,adf095206f25471e864a8e63a0f1caef53a0e3a6,C++
mihaimaruseac,https://github.com/tensorflow/tensorflow,2d88f470dea2671b430884260f3626b1fe99830a,C++
mihaimaruseac,https://github.com/tensorflow/tensorflow,8ee24e7949a203d234489f9da2c5bf45a7d5157d,Objective-C
mihaimaruseac,https://github.com/tensorflow/tensorflow,00302787b788c5ff04cb6f62aed5a74d936e86c0,C++
mihaimaruseac,https://github.com/tensorflow/tensorflow,cd31fd0ce0449a9e0f83dcad08d6ed7f1d6bef3f,C++
mihaimaruseac,https://github.com/tensorflow/tensorflow,fff2c8326280c07733828f990548979bdc893859,C++
mihaimaruseac,https://github.com/tensorflow/tensorflow,204945b19e44b57906c9344c0d00120eeeae178a,C++
cedric-anne,https://github.com/glpi-project/glpi,39e25591efddc560e3679ab07e443ee6198705e2,PHP
zepatrik,https://github.com/ory/fosite,0c9e0f6d654913ad57c507dd9a36631e1858a3e9,Go
cedric-anne,https://github.com/glpi-project/glpi,3dc4475c56b241ad659cc5c7cb5fb65727409cf0,PHP
aeneasr,https://github.com/ory/fosite,cdee51ebe721bfc8acca0fd0b86b030ca70867bf,Go
autor nulo,https://github.com/ractf/core,f3dc89b9f6ab1544a289b3efc06699b13d63e0bd,Python
NGPixel,https://github.com/Requarks/wiki,084dcd69d1591586ee4752101e675d5f0ac6dcdc,JavaScript
ChristianTacke,https://github.com/horazont/xmpp-http-upload,82056540191e89f0cd697c81f57714c00962ed75,Python
jimmyjames,https://github.com/auth0/omniauth-auth0,fd3a14f4ccdfbc515d1121d6378ff88bf55a7a7a,Ruby
mark-netalico,https://github.com/OpenMage/magento-lts,26433d15b57978fcb7701b5f99efe8332ca8630b,PHP
LukeTowers,https://github.com/octobercms/library,80aab47f044a2660aa352450f55137598f362aa4,PHP
daftspunk,https://github.com/octobercms/october,4c650bb775ab849e48202a4923bac93bd74f9982,PHP
